IMAGE_FILENAME,INSECT_ID,DATASET,DPI,DRYMASS_MG,SPLIT,IS_VALID,w_estimate,nl_estimate,NOTES
1_193750_1_2021_01_19-15-50-19-229.png,193750_1,biodiscover-S,1277.6,0.047,val,TRUE,,,
1_193752_1_2021_01_19-15-57-29-910.png,193752_1,biodiscover-S,1277.6,0.012,train,TRUE,,,
1_193754_1_2021_01_19-15-58-53-256.png,193754_1,biodiscover-S,1277.6,0.012,train,TRUE,,,
1_193755_1_2021_01_19-15-59-54-021.png,193755_1,biodiscover-S,1277.6,0.009,train,TRUE,,,
1_193756_1_2021_01_19-16-01-02-920.png,193756_1,biodiscover-S,1277.6,0.024,train,TRUE,,,
1_193757_1_2021_01_19-16-02-52-684.png,193757_1,biodiscover-S,1277.6,1.779,train,TRUE,,,
1_193758_1_2021_01_19-16-12-52-651.png,193758_1,biodiscover-S,1277.6,0.782,train,TRUE,,,
1_193759_1_2021_01_19-16-14-13-964.png,193759_1,biodiscover-S,1277.6,0.553,train,TRUE,,,
1_193760_1_2021_01_19-16-15-15-448.png,193760_1,biodiscover-S,1277.6,0.293,train,TRUE,,,
1_193761_1_2021_01_19-16-16-16-260.png,193761_1,biodiscover-S,1277.6,1.529,train,TRUE,,,
1_193763_1_2021_01_15-11-42-46-991.png,193763_1,biodiscover-S,1277.6,0.038,train,TRUE,,,
1_193764_1_2021_01_15-11-45-30-815.png,193764_1,biodiscover-S,1277.6,0.016,train,TRUE,,,
1_193765_1_2021_01_15-10-46-18-342.png,193765_1,biodiscover-S,1277.6,0.087,train,TRUE,,,
1_193953_1_2021_01_15-13-05-14-850.png,193953_1,biodiscover-S,1277.6,0.147,train,TRUE,,,
1_194000_1_2021_01_15-14-20-19-419.png,194000_1,biodiscover-S,1277.6,1.273,train,TRUE,,,
1_194001_1_2021_01_15-14-20-58-990.png,194001_1,biodiscover-S,1277.6,0.852,val,TRUE,,,
1_194002_1_2021_01_15-14-21-51-651.png,194002_1,biodiscover-S,1277.6,0.381,train,TRUE,,,
1_194003_1_2021_01_15-14-22-59-995.png,194003_1,biodiscover-S,1277.6,0.078,train,TRUE,,,
1_194004_1_2021_01_15-14-49-45-529.png,194004_1,biodiscover-S,1277.6,0.137,test,TRUE,,,
1_194005_1_2021_01_15-14-50-47-079.png,194005_1,biodiscover-S,1277.6,0.041,train,TRUE,,,
1_194006_1_2021_01_15-14-55-29-696.png,194006_1,biodiscover-S,1277.6,0.023,train,TRUE,,,
1_194007_1_2021_01_15-14-56-43-531.png,194007_1,biodiscover-S,1277.6,0.049,train,TRUE,,,
1_194008_1_2021_01_15-15-06-26-212.png,194008_1,biodiscover-S,1277.6,0.336,val,TRUE,,,
1_194009_1_2021_01_15-15-07-07-295.png,194009_1,biodiscover-S,1277.6,1.941,test,TRUE,,,
1_194010_1_2021_01_18-10-57-43-632.png,194010_1,biodiscover-S,1277.6,0.367,train,TRUE,,,
1_194011_1_2021_01_18-10-58-45-065.png,194011_1,biodiscover-S,1277.6,4.246,train,TRUE,,,
1_194012_1_2021_01_18-11-01-21-165.png,194012_1,biodiscover-S,1277.6,0.201,train,TRUE,,,
1_194013_1_2021_01_18-11-02-34-731.png,194013_1,biodiscover-S,1277.6,1.405,train,TRUE,,,
1_194014_1_2021_01_18-11-03-41-466.png,194014_1,biodiscover-S,1277.6,1.639,train,TRUE,,,
1_194015_1_2021_01_18-11-04-51-509.png,194015_1,biodiscover-S,1277.6,0.387,train,TRUE,,,
1_194016_1_2021_01_18-11-06-27-825.png,194016_1,biodiscover-S,1277.6,0.012,train,TRUE,,,
1_194017_1_2021_01_18-11-15-52-164.png,194017_1,biodiscover-S,1277.6,0.192,train,TRUE,,,
1_194018_1_2021_01_18-11-17-05-894.png,194018_1,biodiscover-S,1277.6,0.282,train,TRUE,,,
1_194019_1_2021_01_18-11-18-03-354.png,194019_1,biodiscover-S,1277.6,0.328,val,TRUE,,,
1_194020_1_2021_01_18-11-47-31-603.png,194020_1,biodiscover-S,1277.6,0.071,train,TRUE,,,
1_194021_1_2021_01_18-11-48-35-926.png,194021_1,biodiscover-S,1277.6,0.051,train,TRUE,,,
1_194022_1_2021_01_18-12-48-31-259.png,194022_1,biodiscover-S,1277.6,0.254,train,TRUE,,,
1_194023_1_2021_01_18-12-49-36-951.png,194023_1,biodiscover-S,1277.6,0.248,train,TRUE,,,
1_194024_1_2021_01_18-12-51-29-381.png,194024_1,biodiscover-S,1277.6,0.037,test,TRUE,,,
1_194026_1_2021_01_21-13-05-08-906.png,194026_1,biodiscover-S,1277.6,1.437,train,TRUE,,,
1_194027_1_2021_01_21-13-06-22-292.png,194027_1,biodiscover-S,1277.6,0.684,train,TRUE,,,
1_194028_1_2021_01_21-13-07-11-216.png,194028_1,biodiscover-S,1277.6,1.011,train,TRUE,,,
1_194029_1_2021_01_21-13-10-50-896.png,194029_1,biodiscover-S,1277.6,0.687,train,TRUE,,,
1_194031_1_2021_01_21-13-28-42-015.png,194031_1,biodiscover-S,1277.6,0.514,test,TRUE,,,
1_194032_1_2021_01_21-13-30-22-567.png,194032_1,biodiscover-S,1277.6,0.422,train,TRUE,,,
1_194033_1_2021_01_21-13-31-08-738.png,194033_1,biodiscover-S,1277.6,0.835,train,TRUE,,,
1_194034_1_2021_01_21-13-31-48-223.png,194034_1,biodiscover-S,1277.6,0.558,train,TRUE,,,
1_194035_1_2021_01_21-13-33-47-843.png,194035_1,biodiscover-S,1277.6,1.331,test,TRUE,,,
1_194036_1_2021_01_21-13-34-59-953.png,194036_1,biodiscover-S,1277.6,0.896,test,TRUE,,,
1_194037_1_2021_01_21-13-37-10-384.png,194037_1,biodiscover-S,1277.6,0.112,test,TRUE,,,
1_194038_1_2021_01_21-13-39-53-070.png,194038_1,biodiscover-S,1277.6,0.229,train,TRUE,,,
1_194039_1_2021_01_21-13-54-08-255.png,194039_1,biodiscover-S,1277.6,7.689,train,TRUE,,,
1_194040_1_2021_01_21-13-55-45-255.png,194040_1,biodiscover-S,1277.6,0.092,train,TRUE,,,
1_194041_1_2021_01_21-13-57-01-690.png,194041_1,biodiscover-S,1277.6,0.024,train,TRUE,,,
1_194042_1_2021_01_21-13-59-31-074.png,194042_1,biodiscover-S,1277.6,0.024,train,TRUE,,,
1_194043_1_2021_01_21-14-02-35-102.png,194043_1,biodiscover-S,1277.6,0.012,train,TRUE,,,
1_194044_1_2021_01_21-14-05-16-325.png,194044_1,biodiscover-S,1277.6,0.026,train,TRUE,,,
1_194045_1_2021_01_21-14-08-33-125.png,194045_1,biodiscover-S,1277.6,3.81,train,TRUE,,,
1_194046_1_2021_01_21-14-11-54-917.png,194046_1,biodiscover-S,1277.6,2.191,test,TRUE,,,
