IMAGE_FILENAME,INSECT_ID,DATASET,DPI,DRYMASS_MG,SPLIT,SPLIT_OLD,IS_VALID,w_estimate,nl_estimate,NOTES,ORIGINAL_IMAGE_FILENAME,SCALE,ROI_SIZE_MM,BF_cbrMG_MM,NON_TRANSPARENT_PIXELS,AREA_MM2
00_data/02_resized/EntoScan/crop_2025-05-07_001_A1_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A1,EntoScan,3200,0.11,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A1_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.761904761904762,2.333625,0.205320900190167,39483,2.48758323046875
00_data/02_resized/EntoScan/crop_2025-05-07_001_A1_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A1,EntoScan,3200,0.11,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A1_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.848484848484849,2.0955,0.228652820666322,23748,1.496216765625
00_data/02_resized/EntoScan/crop_2025-05-07_001_A1_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A1,EntoScan,3200,0.11,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A1_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.914285714285714,1.9446875,0.2463850802282,18001,1.13413331640625
00_data/02_resized/EntoScan/crop_2025-05-07_001_A1_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A1,EntoScan,3200,0.11,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A1_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,1.10891089108911,1.603375,0.298833389385689,17251,1.08688038671875
00_data/02_resized/EntoScan/crop_2025-05-07_001_A2_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A2,EntoScan,3200,0.1,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A2_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.549019607843137,3.2385,0.14332526890884,61503,3.87492924609375
00_data/02_resized/EntoScan/crop_2025-05-07_001_A2_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A2,EntoScan,3200,0.1,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A2_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.586387434554974,3.032125,0.153080391923578,61006,3.8436163046875
00_data/02_resized/EntoScan/crop_2025-05-07_001_A2_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A2,EntoScan,3200,0.1,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A2_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.70440251572327,2.524125,0.183889024260398,35380,2.229078203125
00_data/02_resized/EntoScan/crop_2025-05-07_001_A2_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A2,EntoScan,3200,0.1,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A2_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.453441295546559,3.921125,0.118373906305277,34636,2.182203296875
00_data/02_resized/EntoScan/crop_2025-05-07_001_A4_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A4,EntoScan,3200,0.17,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A4_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.562814070351759,3.159125,0.175354196391547,76814,4.8395820546875
00_data/02_resized/EntoScan/crop_2025-05-07_001_A4_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A4,EntoScan,3200,0.17,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A4_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.597333333333333,2.9765625,0.186109253770229,68678,4.3269822734375
