epoch,train_loss,train_r2,train_mae,val_loss,val_r2,val_mae
1,0.029680113787791142,-7.174654,0.12355351448059082,0.00794425080621143,-2.3258984,0.07081279903650284
2,0.005139881186025439,-0.294515,0.05148734524846077,0.0025363701144700303,-0.061863422,0.04034476354718208
3,0.003576961212583553,0.18162775,0.04019465297460556,0.0024029655945630004,-0.006013036,0.03908999264240265
4,0.003033578125913696,0.30833286,0.03658326342701912,0.0030997995972052257,-0.29774582,0.04507247731089592
5,0.0026691102927273946,0.39231914,0.03379075601696968,0.001507665900530392,0.36880845,0.03040268085896969
6,0.002511929082206825,0.42316073,0.032934337854385376,0.0013271872280749251,0.4443667,0.02785652130842209
7,0.0026857169614870145,0.402529,0.034012723714113235,0.0013189538513974372,0.4478137,0.028238710016012192
8,0.0026578748445766943,0.42854035,0.03299820050597191,0.00210265077723185,0.119715214,0.03771810978651047
9,0.0023694115730534936,0.48535758,0.030967382714152336,0.0011996895680917443,0.4977442,0.027416260913014412
10,0.0023112986184621017,0.51807123,0.02953023463487625,0.0014432296565471835,0.39578497,0.02949846163392067
11,0.0021986843475571903,0.51839864,0.029753072187304497,0.0025418171423038567,-0.064143896,0.042128436267375946
12,0.002211256816232339,0.5388655,0.028866810724139214,0.0014208465653100676,0.40515578,0.029909899458289146
13,0.002064052261015664,0.5684048,0.027849992737174034,0.0009039833672016517,0.62154305,0.022847283631563187
14,0.0020694742475043204,0.5714028,0.027938205748796463,0.0023688620225848075,0.008264542,0.040928442031145096
15,0.002237172512666077,0.5506317,0.02835444174706936,0.001860606993878037,0.221048,0.03555208072066307
16,0.002067867976667555,0.5739262,0.0274595208466053,0.0041239059706605075,-0.7264929,0.05844225734472275
17,0.002195984296513629,0.5744237,0.02849041484296322,0.0011060504807181356,0.53694665,0.025687597692012787
18,0.001866807890198251,0.6212888,0.026714537292718887,0.0029539812601386754,-0.23669839,0.047886788845062256
19,0.0019919798719971,0.61451066,0.026706986129283905,0.0008712448110407696,0.6352492,0.022060075774788857
20,0.0019006521610153125,0.6048395,0.027942482382059097,0.0020309320211924177,0.14974064,0.03825833648443222
21,0.0018245567112301778,0.66771567,0.023828670382499695,0.0008883852883589695,0.6280732,0.022246642038226128
22,0.0017652220410706685,0.66866684,0.024469582363963127,0.0008049816531836105,0.66299057,0.02084003947675228
23,0.0015418576091595906,0.71861815,0.023382287472486496,0.0014935430613719964,0.3747211,0.03167915344238281
