epoch,train_loss,train_r2,train_mae,val_loss,val_r2,val_mae
1,0.011861828201990419,-3.4627995,0.07456418871879578,0.0020942470003289496,0.17380911,0.03482382744550705
2,0.0027587962001092542,-0.005471587,0.04030025377869606,0.0015101801406666143,0.40422642,0.0290859155356884
3,0.002132798691961069,0.2504254,0.03462688997387886,0.0015435486868492618,0.39106238,0.030159691348671913
4,0.0018778486698944152,0.3097288,0.03288615122437477,0.0017427546175702519,0.31247467,0.033474721014499664
5,0.0016176777938380837,0.43847322,0.02981271967291832,0.0011605698135773966,0.5421494,0.024955861270427704
6,0.0014625689776285606,0.4928066,0.028232881799340248,0.001514253184347358,0.40261954,0.03074510022997856
7,0.0013143756120473523,0.540099,0.026668516919016838,0.001495609944223716,0.4099744,0.030938195064663887
8,0.0012404238002006935,0.5641633,0.02592639811336994,0.0013791891161833477,0.45590305,0.02905769646167755
9,0.001197146614622168,0.5791492,0.025275401771068573,0.0017689356861006937,0.30214614,0.03495723754167557
10,0.001155794942986314,0.5912421,0.02491977997124195,0.001029449293624289,0.59387714,0.023831389844417572
11,0.0010817235700019143,0.6321441,0.02373909018933773,0.0008977694551010203,0.6458255,0.02146458439528942
12,0.0010067540303874416,0.6573317,0.02287658490240574,0.001053700165126152,0.58431005,0.0246411245316267
13,0.000982770815906467,0.6658028,0.022080441936850548,0.0008640414675919722,0.6591313,0.021626485511660576
14,0.0009831763061248706,0.6704563,0.022225556895136833,0.001083432157548601,0.57258064,0.02593257464468479
15,0.0009022054453028225,0.70077753,0.021387623623013496,0.0009414640608373166,0.6285877,0.023228619247674942
16,0.000862971537515615,0.7137496,0.02083681710064411,0.0011547571894657237,0.54444253,0.02753879502415657
17,0.0008203924000615395,0.7295085,0.02024560421705246,0.0007518828409378547,0.70337844,0.01971057429909706
18,0.0008243029499172131,0.7294848,0.020310012623667717,0.0009257042371908461,0.6348051,0.02308918721973896
19,0.0007707697804430265,0.7544912,0.0194073673337698,0.0007016835799009002,0.7231823,0.01911643147468567
20,0.000767482975047833,0.7495035,0.01958658918738365,0.0006932842645436427,0.72649586,0.018920790404081345
21,0.0007157297382334701,0.76851964,0.018550215288996696,0.0007621745471009947,0.69931835,0.020251726731657982
22,0.000728353287294867,0.76656985,0.01889151521027088,0.000748273479252659,0.7048024,0.019934572279453278
23,0.0006827565393128878,0.78277767,0.017962530255317688,0.00073051770211549,0.71180713,0.019753027707338333
24,0.0006482419097686515,0.7931138,0.017500238493084908,0.0006480028074148376,0.7443597,0.018527163192629814
25,0.0006196830249606718,0.7969193,0.01752619817852974,0.000656799177195112,0.74088943,0.019006339833140373
