,IMAGE_FILENAME,INSECT_ID,DATASET,DPI,DRYMASS_MG,SPLIT,IS_VALID,NOTES
0,crop_2025-05-07_001_A1_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A1,EntoScan,3200.0,0.11,train,True,
1,crop_2025-05-07_001_A1_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A1,EntoScan,3200.0,0.11,train,True,
2,crop_2025-05-07_001_A1_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A1,EntoScan,3200.0,0.11,train,True,
3,crop_2025-05-07_001_A1_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A1,EntoScan,3200.0,0.11,train,True,
4,crop_2025-05-07_001_A2_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A2,EntoScan,3200.0,0.1,train,True,
5,crop_2025-05-07_001_A2_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A2,EntoScan,3200.0,0.1,train,True,
6,crop_2025-05-07_001_A2_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A2,EntoScan,3200.0,0.1,train,True,
7,crop_2025-05-07_001_A2_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A2,EntoScan,3200.0,0.1,train,True,
8,crop_2025-05-07_001_A4_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A4,EntoScan,3200.0,0.17,train,True,
9,crop_2025-05-07_001_A4_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A4,EntoScan,3200.0,0.17,train,True,
10,crop_2025-05-07_001_A4_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A4,EntoScan,3200.0,0.17,train,True,
11,crop_2025-05-07_001_A4_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A4,EntoScan,3200.0,0.17,train,True,
12,crop_2025-05-07_001_A5_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A5,EntoScan,3200.0,0.09,train,True,
13,crop_2025-05-07_001_A5_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A5,EntoScan,3200.0,0.09,train,True,
14,crop_2025-05-07_001_A5_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A5,EntoScan,3200.0,0.09,train,True,
15,crop_2025-05-07_001_A5_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A5,EntoScan,3200.0,0.09,train,True,
16,crop_2025-05-07_001_A6_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A6,EntoScan,3200.0,0.14,train,True,
17,crop_2025-05-07_001_A6_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A6,EntoScan,3200.0,0.14,train,True,
18,crop_2025-05-07_001_A6_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A6,EntoScan,3200.0,0.14,train,True,
19,crop_2025-05-07_001_A6_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_A6,EntoScan,3200.0,0.14,train,True,
20,crop_2025-05-07_001_B1_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,2025-05-07_001_B1,EntoScan,3200.0,4.38,train,True,
